key,data_source,species_reported,experiment_plant_id,experiment_matrix_id,experiment_treatment,experiment_day,plant_height,leaf_n,leaf_scar_n,flower_bud_n,flower_n,flower_day_rate,flowering_presence,flowering_first_day,flowering_peak_day
CS2024_000079,experiment,Chamaecrista_latistipula,P12_b,P12,rhizobium_absent_sand_soil,149,NA,NA,NA,0,0,0,FALSE,NA,NA
CS2024_000080,experiment,Chamaecrista_latistipula,P18_b,P18,rhizobium_absent_sand_soil,149,NA,NA,NA,0,0,0,TRUE,450,450
CS2024_000081,experiment,Chamaecrista_latistipula,1999_b,1999,rhizobium_absent_sand_soil,149,NA,NA,NA,0,0,0,FALSE,NA,NA
CS2024_000082,experiment,Chamaecrista_latistipula,2139_b,2139,rhizobium_absent_sand_soil,149,NA,NA,NA,0,0,0,FALSE,NA,NA
CS2024_000083,experiment,Chamaecrista_latistipula,1989_b,1989,rhizobium_absent_sand_soil,149,NA,NA,NA,0,0,0,FALSE,NA,NA
CS2024_000084,experiment,Chamaecrista_latistipula,2191_b,2191,rhizobium_absent_sand_soil,149,NA,NA,NA,0,0,0,FALSE,NA,NA
CS2024_000085,experiment,Chamaecrista_latistipula,P13_b,P13,rhizobium_absent_sand_soil,149,NA,NA,NA,0,0,0,FALSE,NA,NA
CS2024_000086,experiment,Chamaecrista_latistipula,P20_b,P20,rhizobium_absent_sand_soil,149,NA,NA,NA,0,0,0,FALSE,NA,NA
CS2024_000087,experiment,Chamaecrista_latistipula,P11_b,P11,rhizobium_absent_sand_soil,149,NA,NA,NA,0,0,0,FALSE,NA,NA
CS2024_000088,experiment,Chamaecrista_latistipula,P16_b,P16,rhizobium_absent_sand_soil,149,NA,NA,NA,0,0,0,FALSE,NA,NA
CS2024_000089,experiment,Chamaecrista_latistipula,4109_b,4109,rhizobium_absent_sand_soil,149,NA,NA,NA,0,0,0,FALSE,NA,NA
CS2024_000090,experiment,Chamaecrista_latistipula,1979_b,1979,rhizobium_absent_sand_soil,149,NA,NA,NA,0,0,0,FALSE,NA,NA
CS2024_000091,experiment,Chamaecrista_latistipula,2137_b,2137,rhizobium_absent_sand_soil,149,NA,NA,NA,0,0,0,FALSE,NA,NA
CS2024_000092,experiment,Chamaecrista_latistipula,1947_b,1947,rhizobium_absent_sand_soil,149,NA,NA,NA,0,0,0,FALSE,NA,NA
CS2024_000093,experiment,Chamaecrista_latistipula,P20_c,P20,rhizobium_present_organic_matter,149,NA,NA,NA,0,0,0,TRUE,220,220
